0.575871	0.575871	0 
1.038852	1.038852	0.5
1.263821	1.263821	0.75
1.501822	1.501822	1
1.965498	2.196760	1.5
2.428998	2.428998	2
2.892464	2.892464	2.5
3.124996	3.124996	2.75
3.355637	3.355637	3
3.590058	3.590058	3.25
3.818809	3.818809	3.5
4.051340	4.051340	3.75
4.282995	4.282995	0
4.745154	4.745154	0.5
4.975795	4.975795	0.75
5.208946	5.208946	1
5.669608	5.905920	1.5
6.136122	6.136122	2
6.601624	6.601624	2.5
6.832265	6.832265	2.75
7.064797	7.064797	3
7.295437	7.295437	3.25
7.527969	7.527969	3.5
7.758610	7.758610	3.75
